医療機関,合計,療養,精神,結核感染症,一般
09021,240,46,0,0,194
09022,180,0,0,0,180
09023,250,122,0,0,128
09024,150,50,0,0,100
09025,120,0,0,0,120
09026,100,45,0,4,51
09027,209,171,0,0,38
09028,193,,,,
10001,731,0,40,11,680
10002,153,0,0,4,149
10003,327,0,0,0,327
10004,333,0,0,0,333
10005,592,0,0,6,586
10006,395,0,0,4,391
10007,341,0,0,4,337
10008,253,33,0,0,220
10009,255,50,0,0,205
10010,494,0,0,4,490
10011,314,0,0,0,314
10012,404,0,0,4,400
10013,443,222,0,0,221
10014,471,0,0,4,467
10015,329,0,0,6,323
10016,200,145,0,0,55
10017,227,39,0,4,184
10018,287,0,0,0,287
10019,451,0,0,6,445
10020,195,0,0,0,195
10021,450,0,0,50,400
10022,144,50,0,0,94
10023,270,102,0,0,168
10024,150,,,,
10025,127,0,0,0,127
10026,189,99,0,0,90
10027,84,0,0,0,84
10028,169,57,0,0,112
10029,214,54,0,0,160
10030,196,157,0,0,39
10031,253,110,0,0,143
10032,350,138,0,0,212
10033,84,0,0,0,84
10034,111,37,0,0,74
10035,99,50,0,0,49
10036,49,0,0,0,49
10037,193,90,0,0,103
10038,140,40,0,0,100
11001,800,0,36,0,764
11002,400,0,0,0,400
11003,244,148,0,0,96
11004,395,0,0,0,395
11005,401,0,0,0,401
11006,539,0,0,0,539
11007,567,0,0,30,537
11008,481,0,0,0,481
11009,363,0,0,2,361
11010,492,0,0,0,492
11011,311,0,0,0,311
11012,329,0,0,4,325
11013,372,0,0,0,372
11014,326,0,0,0,326
11015,117,37,0,0,80
11016,980,0,78,0,902
11017,325,0,0,0,325
11018,724,0,0,0,724
11019,424,0,0,0,424
11020,700,0,0,0,700
11021,991,0,0,0,991
11023,632,0,0,0,632
11024,282,0,0,0,282
11025,250,0,0,0,250
11026,303,0,0,0,303
11027,380,0,0,0,380
11028,723,0,0,0,723
11029,350,0,0,0,350
11030,430,0,0,30,400
11031,319,0,0,51,268
11033,316,0,0,0,316
11034,350,0,0,0,350
11036,229,0,0,0,229
11037,207,84,0,0,123
11038,608,0,0,0,608
11040,404,40,0,0,364
11041,302,0,50,0,252
11042,340,0,0,0,340
11043,349,0,0,0,349
11044,95,50,0,0,45
11045,506,0,0,6,500
11046,192,50,0,0,142
11047,272,54,0,0,218
11048,170,0,0,0,170
11049,198,0,0,0,198
11050,61,,,,
11051,80,0,0,0,80
11052,108,108,0,0,0
11053,50,0,0,0,50
11054,151,102,0,0,49
11055,30,0,0,0,30
11056,300,0,0,0,300
11057,105,55,0,0,50
11058,341,0,0,0,341
11059,190,100,0,0,90
11060,226,0,226,0,0
11062,114,0,0,4,110
11063,50,0,0,0,50
11064,310,0,0,0,310
11065,173,0,0,0,173
11066,59,0,0,0,59
11067,82,42,0,0,40
11068,238,238,0,0,0
11069,337,0,0,0,337
11070,504,54,0,0,450
11071,151,40,0,0,111
11072,450,202,200,0,48
11073,102,0,0,0,102
11074,199,0,0,0,199
11075,40,0,0,0,40
11076,40,0,0,0,40
11077,155,0,0,0,155
11078,178,0,0,0,178
11079,270,103,0,0,167
11080,100,100,0,0,0
11081,190,0,0,0,190
11082,76,0,0,0,76
11083,256,0,0,0,256
12001,850,0,45,5,800
12003,449,0,0,0,449
12004,455,0,45,0,410
12005,570,0,0,0,570
12006,613,0,0,8,605
12007,400,0,0,0,400
12008,661,0,0,24,637
12009,299,39,0,0,260
12011,341,0,0,0,341
12012,242,0,0,0,242
12013,464,0,0,4,460
12014,333,0,0,0,333
12015,496,0,0,2,494
12016,425,0,0,0,425
12017,989,0,220,6,763
12018,344,0,0,4,340
12019,664,0,0,0,664
12020,656,0,0,0,656
12021,304,0,0,0,304
12022,517,0,0,0,517
12023,440,0,0,0,440
12024,388,0,388,0,0
12025,312,0,0,0,312
12026,608,0,0,0,608
12027,272,0,0,0,272
12028,378,205,0,25,148
12029,238,33,0,0,205
12030,716,0,50,7,659
12031,315,0,0,0,315
12032,600,0,0,0,600
12033,220,0,0,0,220
12034,287,0,0,0,287
12035,246,0,0,0,246
12036,300,0,0,0,300
12037,224,0,0,0,224
12038,387,0,0,0,387
12039,331,36,0,0,295
12040,925,0,60,0,865
12041,314,0,314,0,0
12042,208,,,,
12043,318,0,0,0,318
12044,99,,,,
12045,241,0,0,4,237
12046,380,0,60,6,314
12047,451,0,0,0,451
12048,350,0,0,0,350
12049,379,0,0,0,379
12050,307,0,0,0,307
12051,572,0,142,0,430
12052,261,0,0,0,261
12053,186,0,0,0,186
12054,129,0,0,0,129
12055,400,0,0,0,400
12057,200,,,,
12058,248,0,0,0,248
12059,268,0,0,0,268
12060,868,0,868,0,0
12061,197,51,0,0,146
12062,716,240,296,0,180
12063,247,0,0,0,247
12064,147,91,0,0,56
12065,114,0,0,0,114
12066,314,0,0,0,314
12067,246,0,0,0,246
12068,260,78,0,45,137
12069,292,0,0,0,292
12070,156,40,0,0,116
12071,214,34,0,0,180
12072,96,0,0,0,96
12073,128,0,0,0,128
13001,550,0,30,0,520
13002,490,0,0,0,490
13003,1026,0,45,0,981
13004,1082,0,47,0,1035
13005,948,0,36,0,912
13007,753,0,41,0,712
13008,560,0,0,100,460
13009,665,0,50,0,615
13010,781,0,38,40,703
13011,780,0,50,0,730
13012,412,0,50,0,362
13013,815,0,0,0,815
13014,518,0,0,6,512
13016,700,0,0,0,700
13017,418,0,0,0,418
13018,286,30,0,0,256
13019,253,38,0,0,215
13022,269,0,0,0,269
13023,320,0,0,0,320
13024,616,0,0,8,608
13025,708,0,0,0,708
13026,340,20,0,0,320
13027,535,0,0,0,535
13028,1020,0,15,0,1005
13029,400,0,0,0,400
13030,765,0,36,10,719
13031,448,42,23,2,381
13032,341,0,0,0,341
13033,500,0,63,0,437
13035,339,40,0,60,239
13036,1099,0,54,0,1045
13037,1015,0,27,0,988
13038,389,0,0,0,389
13039,628,412,70,0,146
13040,320,0,0,0,320
13041,500,0,50,30,420
13042,427,0,0,0,427
13044,477,0,0,0,477
13045,1217,0,54,0,1163
13046,581,0,20,27,534
13047,611,0,0,0,611
13048,205,0,0,0,205
13050,291,0,0,0,291
13052,314,0,0,0,314
13054,231,0,0,0,231
13055,457,0,30,0,427
13056,520,0,0,0,520
13057,789,0,36,48,705
13058,482,0,0,0,482
13059,500,0,0,0,500
13060,474,0,208,0,266
13061,520,0,0,0,520
13062,230,0,0,0,230
13063,1044,0,31,0,1013
13064,308,0,0,0,308
13065,578,0,0,0,578
13066,342,0,0,0,342
13067,500,0,0,0,500
13068,801,0,0,30,771
13069,303,0,0,0,303
13070,1037,0,43,12,982
13071,300,0,0,0,300
13072,1153,0,32,0,1121
13073,476,0,30,0,446
13074,300,0,0,0,300
13075,243,0,0,0,243
13076,400,0,0,0,400
13077,365,0,0,0,365
13078,344,0,0,0,344
13079,320,0,0,0,320
13080,418,0,0,0,418
13081,455,0,0,0,455
13082,378,0,378,0,0
13083,344,0,0,0,344
13084,447,0,0,0,447
13085,391,0,0,1,390
13086,562,0,50,4,508
13087,284,0,0,0,284
13088,486,95,0,0,391
13089,384,47,0,0,337
13090,400,0,0,0,400
13091,561,0,202,12,347
13092,415,0,0,0,415
13093,899,0,32,4,863
13094,304,0,0,0,304
13095,355,39,0,0,316
13096,495,0,0,0,495
13097,470,0,32,20,418
13098,300,156,0,0,144
13099,889,0,0,8,881
13100,256,0,0,0,256
13101,280,0,0,0,280
13102,898,0,808,0,90
13103,170,0,0,0,170
13104,103,0,0,0,103
13105,640,0,640,0,0
13106,164,0,0,0,164
13107,400,0,0,0,400
13108,403,30,0,0,373
